ID;COD; NUM_LAB; ESTACAO;Ag;Al;As;Au;B;Ba;Be;Bi;Ca;Cd;Ce;Co;Cr;Cs;Cu;Fe;Ga;Ge;Hf;Hg;In;K;La;Li;Lu;Mg;Mn;Mo;Na;Nb;Ni;P;Pb;Rb;Re;S;Sb;Sc;Se;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;U;V;W;Y;Yb;Zn;Zr
1;SMP;IBV199;MB-0002;0,005;1,15;0,5;0,05;5;81;0,4;0,17;0,05;0,02;51,25;6;60;0,37;19,6;2,84;4,7;0,1;1,41;0,04;0,01;0,05;36,8;3;0,22;0,07;1446;1,12;0,01;18,23;14,6;146;12,3;6,2;0,05;0,005;0,025;3,4;0,5;1,7;7,3;0,05;0,39;0,025;24,3;1,36;0,06;3,93;36;0,4;10,87;1,5;79;32,9
2;SMP;IBV200;MB-0012;0,03;3,36;1;0,05;5;265;1,5;0,18;0,9;0,05;214,01;27,4;148;1,84;30,5;7,43;15,6;0,4;0,44;0,05;0,07;0,68;93,3;8;0,48;0,67;708;1,28;0,01;3,35;45,9;3887;19,5;53;0,05;0,005;0,05;13,5;0,5;1,5;35,2;0,05;1,43;0,025;18,1;0,38;0,27;1,06;136;0,4;35,4;3,3;103;8,1
3;SMP;IBV201;MB-0013;0,005;0,95;0,5;0,05;5;88;0,3;0,08;0,08;0,03;110,82;6,8;44;0,32;14,9;1,99;4,3;0,2;0,28;0,04;0,01;0,07;72,9;3;0,08;0,09;944;1,63;0,005;8,89;14,6;250;11,5;4,4;0,05;0,005;0,07;3,3;0,5;0,8;18,5;0,025;0,73;0,025;21,8;0,86;0,05;0,95;24;0,2;9,23;0,6;55;8,2
4;SMP;IBV202;MB-0017;0,005;0,78;0,5;0,05;5;70;0,4;0,06;0,09;0,05;126,27;6,8;46;0,31;14,4;1,98;3,8;0,2;0,26;0,03;0,01;0,07;82,3;3;0,08;0,09;954;1,03;0,02;6,36;13,7;268;8,9;4,1;0,05;0,005;0,06;3,3;0,5;0,5;14,7;0,06;0,86;0,025;24;0,9;0,04;1,33;25;0,1;10,57;0,6;56;7,5
5;SMP;IBV203;MB-0019;0,005;0,87;0,5;0,05;5;88;0,3;0,08;0,1;0,04;302,73;6,8;52;0,17;30;3,73;5,8;0,4;1,27;0,03;0,03;0,1;192,3;2;0,2;0,1;1866;2,49;0,02;11,08;15,4;333;19,7;5,3;0,05;0,005;0,1;4,7;0,5;1,6;19,3;0,06;2,03;0,025;58,7;2;0,03;2,06;49;0,1;25,69;1,8;100;51,9
6;SMP;IBV204;MB-0029;0,005;1,68;0,5;0,05;5;167;0,6;0,06;0,88;0,02;117,21;18;166;0,6;19;9,05;10,4;0,4;0,33;0,04;0,03;0,24;66,6;4;0,42;0,42;1072;1,26;0,04;5;29,7;2485;11,9;23,9;0,05;0,005;0,025;7,8;0,5;1,4;44,2;0,05;1,46;0,025;15,7;0,57;0,14;1,26;230;0,3;36,97;3,2;77;10,8
7;SMP;IBV205;MB-0032;0,005;2,1;1;0,05;5;211;0,8;0,1;0,34;0,05;107,36;16,3;61;1;16,7;3,86;8,7;0,3;0,2;0,06;0,03;0,3;70,4;6;0,26;0,36;1267;1,13;0,02;4,86;23,9;871;10,4;26,8;0,05;0,005;0,025;7,2;0,5;1,3;43,6;0,08;1;0,025;17,6;0,43;0,14;1,23;59;0,2;21,44;1,9;73;6,3
8;SMP;IBV207;MB-0035;0,005;0,42;0,5;0,05;5;32;0,1;0,09;0,07;0,02;223,05;3,2;37;0,21;16,7;1,89;3,9;0,3;0,98;0,04;0,01;0,06;144;1;0,15;0,03;923;3,05;0,02;9,81;12,8;235;14,1;3,3;0,05;0,01;0,08;1,9;0,5;1,2;14,4;0,025;1,43;0,025;45,1;0,94;0,03;1,21;28;0,2;15,1;1;42;29,1
9;SMP;IBV208;MB-0041;0,005;1,54;0,5;0,05;5;97;0,5;0,07;0,39;0,02;48,97;13,9;79;0,73;18,6;2,6;6,4;0,1;0,14;0,04;0,01;0,22;28,1;8;0,11;0,51;583;1,08;0,06;3,38;32,8;493;6,5;17,5;0,05;0,04;0,025;4,8;0,5;0,9;37,5;0,06;0,44;0,025;8,8;0,18;0,1;1,1;47;0,2;9,19;0,8;47;5,2
10;SMP;IBV209;MB-0060;0,005;2,15;0,5;0,05;5;155;1,1;0,15;0,81;0,07;113,93;15;57;1,84;17,8;3,3;8,7;0,2;0,18;0,05;0,02;0,36;66,3;13;0,19;1,18;990;1,38;0,02;3,09;27,8;458;10,3;34,9;0,05;0,03;0,07;6,2;0,5;1,1;29,9;0,08;1,03;0,025;20;0,24;0,2;2,05;48;0,2;18,9;1,4;69;5,6
11;SMP;IBV210;MB-0061;0,02;1,17;0,5;0,05;5;66;0,6;0,1;0,42;0,05;360,35;13,9;189;0,74;20;14,08;13,9;0,7;3,42;0,005;0,03;0,16;219,4;4;0,71;0,25;1620;9,71;0,01;9,37;22,2;862;43;18,9;0,05;0,02;0,1;5,3;0,5;3,1;20,4;0,05;2,72;0,025;103,7;1,22;0,17;8;267;0,6;44,12;5;82;77,1
12;SMP;IBV211;MB-0064;0,005;2;0,5;0,05;5;108;0,8;0,11;0,24;0,04;242,05;11,5;43;2,5;18;3,1;9,7;0,4;0,3;0,02;0,03;0,44;140,3;19;0,18;0,49;536;1,78;0,05;2,87;22,8;455;9,1;44,7;0,05;0,06;0,025;6,9;0,5;1,2;14,4;0,07;2,06;0,025;48;0,15;0,21;4,95;46;0,2;25,38;1,3;69;11,1
13;SMP;IBV212;MB-0091;0,01;1,77;4;0,05;5;113;1,1;0,27;0,15;0,05;43,19;14,5;36;3,17;29,1;3,16;6,7;0,05;0,2;0,04;0,01;0,36;25,1;26;0,15;0,45;740;0,66;0,03;1,46;26,7;456;12,9;31,2;0,05;0,03;0,09;4,5;0,5;0,7;16,1;0,1;0,52;0,025;10,4;0,12;0,18;1,02;40;0,1;11,31;1,2;75;6,2
14;SMP;IBV214;MB-0092;0,005;1,48;2;0,05;5;108;0,7;0,12;0,17;0,03;35,6;13,3;32;2,1;17,6;2,42;5,2;0,05;0,13;0,04;0,01;0,29;20;16;0,12;0,34;705;0,86;0,02;2,29;21,7;363;9,3;24,5;0,05;0,02;0,11;3,6;0,5;0,6;23,3;0,08;0,4;0,025;5,8;0,15;0,13;0,72;32;0,1;9,66;0,9;55;5
15;SMP;IBV215;MB-0116;0,005;1,56;1;0,05;5;98;1;0,16;0,11;0,03;134,9;11;37;2,63;19,6;2,74;7;0,2;0,14;0,03;0,01;0,32;79,1;19;0,11;0,31;595;1,35;0,04;2,74;20,4;410;12,2;31,4;0,05;0,005;0,09;4;0,5;0,9;10,1;0,06;1,16;0,025;27,4;0,12;0,16;3,14;30;0,2;15,09;0,9;61;4,6
16;SMP;IBV216;MB-0117;0,02;1,65;2;0,05;5;85;0,9;0,22;0,14;0,08;101,64;7,4;37;2,98;16,7;2,52;7,3;0,2;0,13;0,09;0,02;0,26;56,2;17;0,1;0,26;415;1,15;0,03;3,03;15,6;307;12,7;28,9;0,05;0,005;0,08;4,2;0,5;1;8,7;0,07;0,84;0,025;18,4;0,08;0,19;2,18;35;0,2;11,66;0,8;59;5
17;SMP;IBV217;MB-0120;0,005;1,55;1;0,05;5;98;0,8;0,13;0,17;0,04;65,1;9,3;31;1,57;15,5;2,23;7;0,1;0,11;0,03;0,01;0,15;38,2;15;0,09;0,34;416;1,11;0,03;2,01;17,6;378;11,1;17,3;0,05;0,01;0,09;3,7;0,5;0,9;20,1;0,06;0,51;0,025;13,8;0,1;0,11;1,57;33;0,2;8,7;0,7;61;3,9
18;SMP;IBV218;MB-0122;0,005;1,8;0,5;0,05;5;102;1,1;0,16;0,07;0,06;141,67;9,7;36;3,21;18,2;2,57;7;0,2;0,12;0,02;0,01;0,34;78,6;23;0,11;0,29;529;1,33;0,03;2,78;20,5;352;10,9;32,4;0,05;0,005;0,09;4;0,5;0,8;7,3;0,1;1,23;0,025;29,1;0,1;0,17;3,84;28;0,7;15,25;0,9;73;3,9
19;SMP;IBV220;MB-0126;0,26;1,69;0,5;0,05;5;119;1,1;0,42;0,16;0,04;94,65;14,6;43;2,32;22,2;3,26;7,5;0,2;0,53;0,05;0,01;0,29;50,7;17;0,16;0,35;796;1,08;0,03;2,75;22,5;434;14,4;29;0,05;0,005;0,08;4,8;0,5;1;10,9;0,08;0,96;0,11;18,3;0,15;0,2;2,32;31;0,3;15,34;1,2;58;6
