"VALUE";"Area_bacia";"Geo_cod"
150;7,378;5
153;0,006;5
157;12,461;5
171;6,851;5
178;7,641;5
187;0,017;5
192;8,529;5
1;11,139;7
2;8,758;7
33;4,026;7
34;2,023;7
35;20,089;7
38;0,331;7
40;32,937;7
41;2,393;7
44;2,937;7
49;1,798;7
59;12,904;7
67;5,41;7
70;26,053;7
89;10,751;7
90;5,086;7
103;6,448;7
104;8,371;7
108;4,739;7
114;6,276;7
116;2,377;7
123;9,657;7
129;3,031;7
131;13,481;7
133;23,523;7
137;3,502;7
138;4,956;7
145;7,659;7
179;15,24;7
182;0,312;7
184;19,716;7
191;5,305;7
193;5,966;7
194;2,472;7
196;15,808;7
198;7,69;7
201;6,286;7
202;13,914;7
203;17,218;7
204;4,745;7
208;2,138;7
209;12,253;7
212;5,273;7
213;9,35;7
218;4,872;7
221;4,105;7
227;9,818;7
230;2,919;7
236;4,34;7
243;10,355;7
244;18,408;7
253;9,057;7
254;150,781;7
256;70,029;7
54;17,73;8
83;18,149;8
94;5,289;8
119;16,598;8
132;12,34;8
134;9,289;8
144;13,192;8
155;8,077;8
164;3,591;8
7;1,791;9
9;10,574;9
10;19,862;9
11;5,376;9
12;1,891;9
13;11,692;9
14;11,498;9
15;2,068;9
16;1,513;9
17;1,303;9
18;3,056;9
19;53,118;9
21;0,01;9
22;8,732;9
23;4,233;9
24;1,634;9
25;41,899;9
46;0,52;9
84;6,643;9
91;18,961;9
96;0,006;9
97;13,051;9
98;5,272;9
101;25,007;9
102;11,235;9
106;10,62;9
109;21,709;9
112;14,899;9
113;11,244;9
115;16,884;9
117;11,568;9
121;13,311;9
122;5,303;9
125;20,648;9
126;15,927;9
128;19,056;9
130;10,79;9
135;7,885;9
136;13,197;9
139;17,6;9
140;20,264;9
142;25,06;9
143;9,174;9
146;1,669;9
147;8,322;9
148;57,069;9
149;2,045;9
152;12,534;9
154;26,572;9
156;0,024;9
158;30,294;9
159;0,889;9
160;11,067;9
161;0,116;9
162;4,692;9
163;5,509;9
165;5,336;9
167;6,581;9
168;3,766;9
169;5,071;9
170;10,693;9
172;11,43;9
173;8,856;9
174;8,835;9
176;0,086;9
180;0,124;9
181;3,748;9
183;1,235;9
185;11,737;9
186;7,58;9
188;11,328;9
189;26,93;9
190;44,945;9
195;37,292;9
200;10,557;9
205;9,528;9
225;2,412;9
240;3,568;9
258;28,331;9
259;9,095;9
260;1,492;9
261;1,643;9
262;13,757;9
267;8,663;9
245;2,311;11
71;10,615;12
76;6,935;12
197;5,998;13
223;5,201;13
226;10,97;13
231;2,594;13
233;6,225;13
246;4,799;13
252;9,423;13
257;2,162;13
26;1,999;14
27;4,786;14
28;2,944;14
29;18,43;14
30;2,329;14
31;4,899;14
32;8,184;14
166;17,428;14
175;22,164;14
177;0,33;14
199;11,238;14
206;6,673;14
207;13,012;14
214;14,475;14
215;5,805;14
216;6,791;14
217;7,918;14
266;13,937;14
210;26,051;15
219;6,575;15
220;13,227;15
222;70,606;15
224;285,518;15
228;6,783;15
229;3,084;15
232;20,606;15
234;12,74;15
235;5,193;15
237;11,966;15
238;12,474;15
239;96,513;15
241;5,805;15
242;10,888;15
247;31,407;15
248;11,505;15
249;12,274;15
250;7,726;15
251;11,88;15
255;9,448;15
264;26,026;15
265;6,467;15
36;4,717;16
39;9,6;16
42;5,67;16
45;1,767;16
52;6,702;16
3;4,656;17
4;4,687;17
5;9,586;17
6;6,462;17
20;9,001;17
43;66,159;17
47;45,87;17
48;23,697;17
55;11,254;17
56;10,635;17
57;10,703;17
58;6,002;17
60;2,933;17
62;7,86;17
63;3,111;17
64;0,497;17
66;2,76;17
69;8,391;17
72;1,061;17
73;23,243;17
74;2,221;17
75;5,12;17
77;0,788;17
78;2,699;17
79;4,422;17
80;6,06;17
82;1,218;17
85;16,015;17
86;1,058;17
87;0,006;17
88;7,522;17
92;33,343;17
93;16,685;17
95;4,578;17
99;5,904;17
100;4,559;17
105;31,677;17
107;5,492;17
110;10,21;17
111;5,9;17
118;3,567;17
120;3,625;17
124;6,472;17
127;3,695;17
151;2,556;17
263;11,556;17
8;13,387;18
37;6,648;18
50;4;18
51;0,006;18
53;16,128;18
61;9,59;18
65;1,422;18
81;8,098;18
