"RANGE";"VALUE";"Area_bacia";"Area_lito";"Pct_area"
"NP3_gamma";1;11.139;8,203;73,64
"PP2";1;11.139;2,946;26,45
"NP3_gamma";2;8.758;8,177;93,37
"PP2";2;8.758;0,587;6,7
"PP2";3;4.619;4,623;100,09
"PP2";4;4.724;4,73;100,13
"A4";5;9.586;0,083;0,87
"PP2";5;9.586;9,513;99,24
"NP3_gamma";6;6.462;3,212;49,71
"PP2";6;6.462;3,256;50,39
"NP";7;1.791;1,159;64,71
"PP2";7;1.791;0,634;35,4
"A4";8;13.387;13,402;100,11
"PP2";8;13.387;0;0
"NP";9;10.574;9,073;85,8
"PP2";9;10.574;1,509;14,27
"NP";10;19.848;16,235;81,8
"NP3_gamma";10;19.848;2,546;12,83
"PP2";10;19.848;1,082;5,45
"NP";11;5.376;5,381;100,09
"NP";12;1.891;1,892;100,05
"NP";13;11.692;11,702;100,09
"NP";14;11.493;11,502;100,08
"NP";15;2.079;2,081;100,1
"NP";16;1.513;1,514;100,07
"NP";17;1.303;1,305;100,15
"NP";18;3.056;3,059;100,1
"NP";19;53.107;53,153;100,09
"NP";20;9.005;2,657;29,51
"NP3_gamma";20;9.005;0,993;11,03
"PP2";20;9.005;5,362;59,54
"NP";21;0.01;0,01;100
"NP";22;8.732;8,739;100,08
"NP";23;4.233;4,237;100,09
"NP";24;1.634;1,635;100,06
"NP";25;42.074;10,032;23,84
"NP3_gamma";25;42.074;1,706;4,05
"PP2";25;42.074;30,374;72,19
"MP";26;1.999;2;100,05
"MP";27;4.786;4,789;100,06
"MP";28;2.944;2,946;100,07
"MP";29;18.43;15,365;83,37
"NP";29;18.43;3,078;16,7
"MP";30;2.329;2,33;100,04
"MP";31;4.899;4,903;100,08
"MP";32;8.184;6,211;75,89
"NP";32;8.184;1,979;24,18
"NP3_gamma";33;4.026;3,628;90,11
"NP3_gamma_2I";33;4.026;0,403;10,01
"NP3_gamma";34;2.023;2,026;100,15
"NP3_gamma";35;20.089;6,626;32,98
"NP3_gamma_2I";35;20.089;6,902;34,36
"PP2";35;20.089;1,709;8,51
"Q2";35;20.089;4,878;24,28
"NP3_gamma";36;4.717;1,33;28,2
"PP";36;4.717;3,393;71,93
"A4";37;6.648;6,655;100,11
"NP3_gamma";38;0.331;0,213;64,35
"PP";38;0.331;0,118;35,65
"A4";39;9.6;0,003;0,03
"NP3_gamma";39;9.6;1,348;14,04
"PP";39;9.6;8,259;86,03
"NP3_gamma";40;33.206;27,525;82,89
"PP";40;33.206;5,721;17,23
"NP3_gamma";41;2.393;2,397;100,17
"NP3_gamma";42;5.437;0,625;11,5
"PP";42;5.437;4,819;88,63
"A4";43;66.19;21,806;32,94
"PP2";43;66.19;44,449;67,15
"NP3_gamma";44;2.937;2,942;100,17
"A4";45;1.767;0,614;34,75
"PP";45;1.767;1,154;65,31
"NP";46;0.52;0,52;100
"NP3_gamma";47;45.87;23,042;50,23
"PP2";47;45.87;22,868;49,85
"A4";48;23.697;0,282;1,19
"NP";48;23.697;1,158;4,89
"PP2";48;23.697;22,283;94,03
"NP3_gamma";49;1.623;1,617;99,63
"PP2";49;1.623;0,007;0,43
"A4";50;4.021;4,025;100,1
"A4";51;0.006;0,006;100
"MP2";52;6.702;1,74;25,96
"PP";52;6.702;4,97;74,16
"A4";53;16.107;8,192;50,86
"NP3_gamma";53;16.107;7,181;44,58
"PP";53;16.107;0,752;4,67
"MP2";54;17.73;8,527;48,09
"NP3_gamma";54;17.73;3,315;18,7
"NP3_gamma_2I";54;17.73;1,021;5,76
"PP";54;17.73;4,889;27,57
"A4";55;11.23;6,749;60,1
"PP2";55;11.23;4,493;40,01
"A4";56;10.499;2,221;21,15
"PP2";56;10.499;8,29;78,96
"NP3_gamma";57;10.703;2,927;27,35
"PP2";57;10.703;7,769;72,59
"Q2";57;10.703;0,022;0,21
"NP3_gamma_2I";58;6.004;3,377;56,25
"PP2";58;6.004;2,635;43,89
"MP2";59;12.904;0,579;4,49
"NP3_gamma";59;12.904;9,195;71,26
"PP";59;12.904;0,835;6,47
"Q2";59;12.904;2,31;17,9
"PP2";60;2.933;2,936;100,1
"A4";61;9.59;4,932;51,43
"NP";61;9.59;0;0
"NP3_gamma";61;9.59;4,599;47,96
"PP2";61;9.59;0,071;0,74
"PP2";62;7.86;7,867;100,09
"NP";63;3.111;0,849;27,29
"PP2";63;3.111;2,265;72,81
"NP3_gamma_2I";64;0.497;0,041;8,25
"PP2";64;0.497;0,457;91,95
